,X,batch,Sample.ID,cell.line,cell.id,type,treatment,batchid,cellid,xptype
1,130321_SN1068_0114_Ac1r1pacxx-10,130321_SN1068_0114_Ac1r1pacxx,10,CAMA-1,cama1,NA,NA,NA,CAMA-1,untreated
2,130321_SN1068_0114_Ac1r1pacxx-11,130321_SN1068_0114_Ac1r1pacxx,11,HCC38,hcc38,NA,NA,NA,HCC38,untreated
3,130321_SN1068_0114_Ac1r1pacxx-12,130321_SN1068_0114_Ac1r1pacxx,12,HCC202,hcc202,NA,NA,NA,HCC202,untreated
4,130321_SN1068_0114_Ac1r1pacxx-13,130321_SN1068_0114_Ac1r1pacxx,13,HCC1143,hcc1143,NA,NA,NA,HCC1143,untreated
5,130321_SN1068_0114_Ac1r1pacxx-14,130321_SN1068_0114_Ac1r1pacxx,14,HCC1187,hcc1187,NA,NA,NA,HCC1187,untreated
6,130321_SN1068_0114_Ac1r1pacxx-15,130321_SN1068_0114_Ac1r1pacxx,15,HCC1395,hcc1395,NA,NA,NA,HCC1395,untreated
7,130321_SN1068_0114_Ac1r1pacxx-16,130321_SN1068_0114_Ac1r1pacxx,16,HCC1419,hcc1419,NA,NA,NA,HCC1419,untreated
8,130321_SN1068_0114_Ac1r1pacxx-17,130321_SN1068_0114_Ac1r1pacxx,17,HCC1428,hcc1428,NA,NA,NA,HCC1428,untreated
9,130321_SN1068_0114_Ac1r1pacxx-18,130321_SN1068_0114_Ac1r1pacxx,18,HCC1500,hcc1500,NA,NA,NA,HCC1500,untreated
10,130321_SN1068_0114_Ac1r1pacxx-19,130321_SN1068_0114_Ac1r1pacxx,19,HCC1569,hcc1569,NA,NA,NA,HCC1569,untreated
11,130321_SN1068_0114_Ac1r1pacxx-1,130321_SN1068_0114_Ac1r1pacxx,1,CAL-51,cal51,NA,NA,NA,CAL-51,untreated
12,130321_SN1068_0114_Ac1r1pacxx-20,130321_SN1068_0114_Ac1r1pacxx,20,HCC1806,hcc1806,NA,NA,NA,HCC1806,untreated
13,130321_SN1068_0114_Ac1r1pacxx-21,130321_SN1068_0114_Ac1r1pacxx,21,HCC1937,hcc1937,NA,NA,NA,HCC1937,untreated
14,130321_SN1068_0114_Ac1r1pacxx-22,130321_SN1068_0114_Ac1r1pacxx,22,HCC1954,hcc1954,NA,NA,NA,HCC1954,untreated
15,130321_SN1068_0114_Ac1r1pacxx-23,130321_SN1068_0114_Ac1r1pacxx,23,HCC2218,hcc2218,NA,NA,NA,HCC2218,untreated
16,130321_SN1068_0114_Ac1r1pacxx-24,130321_SN1068_0114_Ac1r1pacxx,24,Hs578T,hs578t,NA,NA,NA,Hs-578-T,untreated
17,130321_SN1068_0114_Ac1r1pacxx-25,130321_SN1068_0114_Ac1r1pacxx,25,-MCF 7.00,mcf7,NA,NA,NA,MCF 7.00,untreated
18,130321_SN1068_0114_Ac1r1pacxx-26,130321_SN1068_0114_Ac1r1pacxx,26,MCF-10A,mcf10a,NA,NA,NA,MCF10A,untreated
