"id","Symbol","EnsemblID","Synonyms"
"1","A2M","ENSG00000175899","A2MD"
"2","A2M","ENSG00000175899","CPAMD5"
"3","A2M","ENSG00000175899","FWP007"
"4","A2M","ENSG00000175899","S863-7"
"5","NAT1","ENSG00000171428","AAC1"
"6","NAT1","ENSG00000171428","MNAT"
"7","NAT1","ENSG00000171428","NAT-1"
"8","NAT1","ENSG00000171428","NATI"
"9","NAT2","ENSG00000156006","AAC2"
"10","NAT2","ENSG00000156006","NAT-2"
"11","NAT2","ENSG00000156006","PNAT"
"12","AADAC","ENSG00000114771","CES5A1"
"13","AADAC","ENSG00000114771","DAC"
"14","AAMP","ENSG00000127837","-"
"15","AANAT","ENSG00000129673","DSPS"
"16","AANAT","ENSG00000129673","SNAT"
"17","AARS1","ENSG00000090861","AARS"
"18","AARS1","ENSG00000090861","CMT2N"
"19","AARS1","ENSG00000090861","EIEE29"
"20","ABAT","ENSG00000183044","GABA-AT"
"21","ABAT","ENSG00000183044","GABAT"
"22","ABAT","ENSG00000183044","NPD009"
"23","ABCA1","ENSG00000165029","ABC-1"
"24","ABCA1","ENSG00000165029","ABC1"
"25","ABCA1","ENSG00000165029","CERP"
"26","ABCA1","ENSG00000165029","HDLCQTL13"
"27","ABCA1","ENSG00000165029","HDLDT1"
"28","ABCA1","ENSG00000165029","HPALP1"
"29","ABCA1","ENSG00000165029","TGD"
"30","ABCA2","ENSG00000107331","ABC2"
"31","ABCA2","ENSG00000107331","IDPOGSA"
"32","ABCA3","ENSG00000167972","ABC-C"
"33","ABCA3","ENSG00000167972","ABC3"
"34","ABCA3","ENSG00000167972","EST111653"
"35","ABCA3","ENSG00000167972","LBM180"
"36","ABCA3","ENSG00000167972","SMDP3"
"37","ABCB7","ENSG00000131269","ABC7"
"38","ABCB7","ENSG00000131269","ASAT"
"39","ABCB7","ENSG00000131269","Atm1p"
"40","ABCB7","ENSG00000131269","EST140535"
"41","ABCF1","ENSG00000204574","ABC27"
"42","ABCF1","ENSG00000204574","ABC50"
"43","ABCA4","ENSG00000198691","ABC10"
"44","ABCA4","ENSG00000198691","ABCR"
"45","ABCA4","ENSG00000198691","ARMD2"
"46","ABCA4","ENSG00000198691","CORD3"
"47","ABCA4","ENSG00000198691","FFM"
"48","ABCA4","ENSG00000198691","RMP"
"49","ABCA4","ENSG00000198691","RP19"
"50","ABCA4","ENSG00000198691","STGD"
"51","ABCA4","ENSG00000198691","STGD1"
"52","ABL1","ENSG00000097007","ABL"
"53","ABL1","ENSG00000097007","BCR-ABL"
"54","ABL1","ENSG00000097007","CHDSKM"
"55","ABL1","ENSG00000097007","JTK7"
"56","ABL1","ENSG00000097007","bcr/abl"
"57","ABL1","ENSG00000097007","c-ABL"
"58","ABL1","ENSG00000097007","c-ABL1"
"59","ABL1","ENSG00000097007","p150"
"60","ABL1","ENSG00000097007","v-abl"
"61","AOC1","ENSG00000002726","ABP"
"62","AOC1","ENSG00000002726","ABP1"
"63","AOC1","ENSG00000002726","DAO"
"64","AOC1","ENSG00000002726","DAO1"
"65","AOC1","ENSG00000002726","KAO"
"66","ABL2","ENSG00000143322","ABLL"
"67","ABL2","ENSG00000143322","ARG"
"68","ABO","ENSG00000175164","A3GALNT"
"69","ABO","ENSG00000175164","A3GALT1"
"70","ABO","ENSG00000175164","GTB"
"71","ABO","ENSG00000175164","NAGAT"
"72","ABR","ENSG00000159842","MDB"
"73","ACAA1","ENSG00000060971","ACAA"
"74","ACAA1","ENSG00000060971","PTHIO"
"75","ACAA1","ENSG00000060971","THIO"
"76","ACACA","ENSG00000278540","ACAC"
"77","ACACA","ENSG00000278540","ACACAD"
"78","ACACA","ENSG00000278540","ACC"
"79","ACACA","ENSG00000278540","ACC1"
"80","ACACA","ENSG00000278540","ACCA"
"81","ACACB","ENSG00000076555","ACC2"
"82","ACACB","ENSG00000076555","ACCB"
"83","ACACB","ENSG00000076555","HACC275"
"84","ACADL","ENSG00000115361","ACAD4"
"85","ACADL","ENSG00000115361","LCAD"
"86","ACADM","ENSG00000117054","ACAD1"
"87","ACADM","ENSG00000117054","MCAD"
"88","ACADM","ENSG00000117054","MCADH"
"89","ACADS","ENSG00000122971","ACAD3"
"90","ACADS","ENSG00000122971","SCAD"
"91","ACADSB","ENSG00000196177","2-MEBCAD"
"92","ACADSB","ENSG00000196177","ACAD7"
"93","ACADSB","ENSG00000196177","SBCAD"
"94","ACADVL","ENSG00000072778","ACAD6"
"95","ACADVL","ENSG00000072778","LCACD"
"96","ACADVL","ENSG00000072778","VLCAD"
"97","ACAT1","ENSG00000075239","ACAT"
"98","ACAT1","ENSG00000075239","MAT"
"99","ACAT1","ENSG00000075239","T2"
"100","ACAT1","ENSG00000075239","THIL"
