"id","Symbol","EnsemblID","Synonyms"
"1","Acaa1a","ENSRNOG00000032908","Acaa"
"2","Acaa1a","ENSRNOG00000032908","Acaa1"
"3","Acaa1a","ENSRNOG00000032908","Pktaa"
"4","Acadm","ENSRNOG00000009845","MCAD"
"5","Acly","ENSRNOG00000016924","ACL"
"6","Acly","ENSRNOG00000016924","Clatp"
"7","Acp2","ENSRNOG00000013594","LAP"
"8","Acr","ENSRNOG00000029762","Acro"
"9","Ada","ENSRNOG00000010265","-"
"10","Adcyap1","ENSRNOG00000049882","Pacap"
"11","Adcyap1r1","ENSRNOG00000012098","PAC1-R"
"12","Adcyap1r1","ENSRNOG00000012098","PACAP-R1"
"13","Adcyap1r1","ENSRNOG00000012098","PACAP-R1A"
"14","Adcyap1r1","ENSRNOG00000012098","PACAPR1"
"15","Adcyap1r1","ENSRNOG00000012098","PACAPR1A"
"16","Add1","ENSRNOG00000013039","-"
"17","Add2","ENSRNOG00000015903","beta-ADD"
"18","Adra2b","ENSRNOG00000013887","-"
"19","Adra2c","ENSRNOG00000009299","-"
"20","Adrb2","ENSRNOG00000019217","-"
"21","Afp","ENSRNOG00000002889","-"
"22","Agt","ENSRNOG00000018445","ANRT"
"23","Agt","ENSRNOG00000018445","Ang"
"24","Agt","ENSRNOG00000018445","AngII"
"25","Agt","ENSRNOG00000018445","PAT"
"26","Agtr1a","ENSRNOG00000018346","AT1"
"27","Agtr1a","ENSRNOG00000018346","AT1A"
"28","Agtr1a","ENSRNOG00000018346","AT1R"
"29","Agtr1a","ENSRNOG00000018346","Agtr1"
"30","Agtr2","ENSRNOG00000050006","AT2-R"
"31","Agtr2","ENSRNOG00000050006","AT2R"
"32","Agtr2","ENSRNOG00000050006","AT<sub>2</sub>R"
"33","Ak2","ENSRNOG00000000122","-"
"34","Akt1","ENSRNOG00000028629","Akt"
"35","Alb","ENSRNOG00000002911","Alb1"
"36","Alb","ENSRNOG00000002911","Albza"
"37","Aldh1a1","ENSRNOG00000017619","Ahd2"
"38","Aldh1a1","ENSRNOG00000017619","Aldh1"
"39","Aldh1a1","ENSRNOG00000017619","Aldh2"
"40","Aldob","ENSRNOG00000006807","Aldo2"
"41","Aldob","ENSRNOG00000006807","LIV10"
"42","Aldoc","ENSRNOG00000011452","ALDCAA"
"43","Aldoc","ENSRNOG00000011452","F16dip7"
"44","Aldoc","ENSRNOG00000011452","RATALDCAA"
"45","Akr1b1","ENSRNOG00000009513","ALDRED"
"46","Akr1b1","ENSRNOG00000009513","ALR-P-I"
"47","Akr1b1","ENSRNOG00000009513","Akr1b3"
"48","Akr1b1","ENSRNOG00000009513","Akr1b4"
"49","Akr1b1","ENSRNOG00000009513","Aldr1"
"50","Akr1b1","ENSRNOG00000009513","Alr"
"51","Akr1b1","ENSRNOG00000009513","RATALDRED"
"52","Alpi","ENSRNOG00000030020","Alp1"
"53","Alpi","ENSRNOG00000030020","S51097"
"54","Amy1a","ENSRNOG00000033529","Amy1"
"55","Apc","ENSRNOG00000020423","RATAPC"
"56","Apeh","ENSRNOG00000029572","-"
"57","Apoc3","ENSRNOG00000047503","ApoC-III"
"58","Apoc3","ENSRNOG00000047503","apo-CIII"
"59","Ar","ENSRNOG00000005639","Andr"
"60","Ar","ENSRNOG00000005639","Tfm"
"61","Ascl2","ENSRNOG00000020434","-"
"62","Asgr1","ENSRNOG00000018693","ASGR"
"63","Asgr1","ENSRNOG00000018693","RATRHL1"
"64","Asgr1","ENSRNOG00000018693","RHL1"
"65","Atp1a1","ENSRNOG00000030019","Nkaa1b"
"66","Atp1a2","ENSRNOG00000007290","RATATPA2"
"67","Atp1a3","ENSRNOG00000020263","Atpa1a3"
"68","Atp1b2","ENSRNOG00000011227","ATPB2"
"69","Atp1b2","ENSRNOG00000011227","ATPB2S"
"70","Atp1b2","ENSRNOG00000011227","Amog"
"71","Atp1b2","ENSRNOG00000011227","RATATPB2S"
"72","Atp2b2","ENSRNOG00000030269","PMCA2"
"73","Atp4a","ENSRNOG00000020985","Hka"
"74","Atp4a","ENSRNOG00000020985","Hkatpc"
"75","Atp4b","ENSRNOG00000018543","S76401S1"
"76","Atp7b","ENSRNOG00000012878","Hts"
"77","Atp7b","ENSRNOG00000012878","PINA"
"78","Atp7b","ENSRNOG00000012878","Wd"
"79","Avp","ENSRNOG00000021229","ADH"
"80","Avp","ENSRNOG00000021229","DI"
"81","Avp","ENSRNOG00000021229","VP"
"82","Avp","ENSRNOG00000021229","Vas"
"83","B2m","ENSRNOG00000017123","-"
"84","Bcl2","ENSRNOG00000002791","Bcl-2"
"85","Bdnf","ENSRNOG00000047466","-"
"86","Tspo","ENSRNOG00000010549","Bzrp"
"87","Tspo","ENSRNOG00000010549","MBR"
